PaymentID,VendorID,VendorName,InvoiceNumber,InvoiceDate,DueDate,PaymentDate,PaymentAmount,PaymentMethod,Currency,InvoiceCategory,Comments,DiscountPercentage,CommentSentiment,Industry
1,50,Ford Inc,INV9461,2023-05-28,2023-06-27,2023-06-27,6286.1,Credit Card,USD,Goods,Chance back write consider everything realize plant action.,4.79,0.04,Healthcare
2,76,Perez Ltd,INV3738,2023-03-14,2023-05-03,2023-05-03,8324.71,Check,EUR,Consulting,Away first customer candidate although.,3.7,-0.27,Manufacturing
3,9,Alexander Ltd,INV7141,2023-02-28,2023-04-04,2023-04-04,7407.55,Check,GBP,Goods,Possible everybody religious career challenge music both.,1.0,-0.7,Retail
4,62,Campbell-Stewart,INV4012,2023-02-11,2023-03-18,2023-03-18,14719.1,Check,EUR,Consulting,Example can prevent skill.,2.58,0.76,Healthcare
5,45,Anderson-Dawson,INV8755,2023-02-27,2023-04-23,2023-04-23,10504.6,Wire Transfer,USD,Goods,Can reduce him any religious type.,0.0,-0.97,Consulting
6,17,Gonzalez LLC,INV1568,2024-02-14,2024-03-30,2024-04-04,4536.7,Wire Transfer,USD,Consulting,Ability same situation thousand message future.,0.0,-0.25,Consulting
7,79,"Brady, Edwards and Jenkins",INV7852,2024-01-05,2024-03-05,2024-03-05,11640.4,Check,GBP,Services,Set teacher edge treatment itself art.,0.0,0.6,Consulting
8,55,"Stevens, Cunningham and Green",INV0981,2024-03-04,2024-03-29,2024-03-29,4047.0,Wire Transfer,EUR,Consulting,Party almost defense network much maintain.,4.4,-0.74,Retail
9,60,Stein LLC,INV5877,2023-08-14,2023-10-03,2023-10-03,12162.99,ACH,GBP,Consulting,Money measure firm question.,2.63,-0.56,Manufacturing
10,43,Johnson-Roberts,INV7840,2024-03-21,2024-05-05,2024-05-05,3825.22,Check,GBP,Consulting,Vote just student right goal.,4.77,0.67,Retail
11,3,Hill Ltd,INV0684,2023-02-01,2023-04-07,2023-04-16,6084.3,Wire Transfer,EUR,Consulting,Build read wall writer media.,0.0,0.62,Retail
12,49,Gamble PLC,INV8581,2023-01-14,2023-03-15,2023-03-15,2645.04,ACH,EUR,Consulting,Any two student call.,2.8,0.11,Retail
13,40,Nicholson Group,INV1976,2023-07-17,2023-08-21,2023-08-21,2455.29,Wire Transfer,EUR,Consulting,Site through program hospital traditional than.,0.0,-0.35,Consulting
14,14,"Parker, Larson and Conway",INV5582,2023-11-21,2024-01-20,2024-01-20,11355.51,Check,GBP,Consulting,You government stage result no maintain still medical.,0.0,0.81,IT Services
15,72,"Conner, Smith and Simon",INV4548,2023-08-02,2023-09-01,2023-09-02,4439.54,Check,USD,Services,Our dream response machine pass down standard.,0.0,0.19,Retail
16,36,Martin PLC,INV1965,2023-02-01,2023-03-18,2023-03-18,15706.99,ACH,GBP,Goods,Candidate rule soon.,1.4,-0.32,Healthcare
17,90,Lara PLC,INV9889,2023-12-15,2024-01-09,2024-01-09,14355.13,ACH,GBP,Services,Poor could expect change know.,0.0,0.42,IT Services
18,84,"Gibbs, Calderon and Larson",INV2562,2023-07-20,2023-08-24,2023-08-24,7384.53,ACH,USD,Services,Career able that our.,2.92,-0.37,Healthcare
19,37,Hoover and Sons,INV3699,2024-02-20,2024-04-25,2024-04-25,12539.52,Wire Transfer,EUR,Goods,Daughter see citizen economic sure involve population choice.,0.0,-0.79,IT Services
20,27,Jimenez-Reed,INV9683,2023-12-28,2024-03-02,2024-03-02,18677.48,Wire Transfer,EUR,Services,Data theory scientist someone food young how method.,0.0,0.35,Manufacturing
21,99,Harris and Sons,INV4624,2024-02-17,2024-03-13,2024-03-21,2900.44,Wire Transfer,GBP,Services,Color kind want game across.,0.0,0.79,Retail
22,41,"Garcia, Lopez and Kaufman",INV8318,2024-03-02,2024-05-01,2024-05-01,6280.62,Check,EUR,Consulting,Its environmental during Democrat protect clear discuss.,0.0,0.12,IT Services
23,29,Moore Inc,INV2032,2024-02-29,2024-04-14,2024-04-14,16134.47,Check,GBP,Services,Front summer firm despite.,0.0,-0.15,Manufacturing
24,100,"Walsh, Gomez and Meza",INV8873,2023-12-10,2024-02-13,2024-02-13,10603.6,Check,EUR,Services,Author everybody significant only form speak loss.,0.0,0.6,IT Services
25,21,"Stone, Weaver and May",INV2209,2023-03-31,2023-05-05,2023-05-05,9518.26,Credit Card,EUR,Consulting,Huge follow let.,1.6,-0.05,Consulting
26,71,Villarreal-Mckenzie,INV7484,2023-10-10,2023-11-24,2023-11-26,3548.35,Check,USD,Services,Go performance surface couple.,0.0,-0.06,Retail
